large_service_area,service_area_code,name
SS10,Z011,東京
SS10,Z012,神奈川
SS10,Z013,埼玉
SS10,Z014,千葉
SS10,Z015,茨城
SS10,Z016,栃木
SS10,Z017,群馬
SS20,Z021,滋賀
SS20,Z022,京都
SS20,Z023,大阪
SS20,Z024,兵庫
SS20,Z025,奈良
SS20,Z026,和歌山
SS30,Z031,岐阜
SS30,Z032,静岡
SS30,Z033,愛知
SS30,Z034,三重
SS40,Z041,北海道
SS50,Z051,青森
SS50,Z052,岩手
SS50,Z053,宮城
SS50,Z054,秋田
SS50,Z055,山形
SS50,Z056,福島
SS60,Z061,新潟
SS60,Z062,富山
SS60,Z063,石川
SS60,Z064,福井
SS60,Z065,山梨
SS60,Z066,長野
SS70,Z071,鳥取
SS70,Z072,島根
SS70,Z073,岡山
SS70,Z074,広島
SS70,Z075,山口
SS80,Z081,徳島
SS80,Z082,香川
SS80,Z083,愛媛
SS80,Z084,高知
SS90,Z091,福岡
SS90,Z092,佐賀
SS90,Z093,長崎
SS90,Z094,熊本
SS90,Z095,大分
SS90,Z096,宮崎
SS90,Z097,鹿児島
SS90,Z098,沖縄